__ manuell	__NO unflekt	Ursprungsform in FreqLi	NO-Form
positiv	christus	christus;cristus;x;	christus;christus;christus;
negativ	clag	clag;	clag;
negativ	clagen	clagen;	clagen;
negativ	clagete	clagete;	clagete;
positiv	clar	clar;klar;	clar;clar;
positiv	clâr	klâr;clâr;clâren;clâre;	clâr;clâr;clâren;clâre;
positiv	clare	clare;	clare;
positiv	claren	claren;	claren;
positiv	clarheit	clarheit;	clarheit;
positiv	clârheit	clârheit;	clârheit;
positiv	danc	danc;dank;danch;denke;dang;	danc;danc;danc;denke;danc;
positiv	dank	danc;dank;danch;denke;dang;	danc;danc;danc;denke;danc;
positiv	danckten	danckten;	danckten;
positiv	danct	danct;	danct;
positiv	dancte	dancte;	dancte;
positiv	dancten	dancten;dankten;	dancten;dancten;
positiv	dank	danck;	dank;
positiv	danken	danken;danke;dancken;danket;danchen;dankte;dankt;gedanket;dancket;	danken;danke;danken;danket;danken;dankte;danket;gedanket;danket;
positiv	dankes	dankes;	dankes;
positiv	dankete	danckt;dankete;dancht;danchte;	dankete;dankete;dankete;dankete;
positiv	degen	degen;degene;degenen;degne;	degen;degene;degenen;degene;
positiv	degenheit	degenheit;	degenheit;
positiv	degn	degn;	degn;
negativ	diep	diep;diebe;dieb;diebes;	diep;diebe;diep;diebes;
negativ	dieb	diep;diebe;dieb;diebes;	diep;diebe;diep;diebes;
positiv	drivaltekeit	drivaltekeit;	drivaltekeit;
positiv	drivaltikeit	drivaltikeit;	drivaltikeit;
negativ	dro	dro;	dro;
negativ	drô	drô;	drô;
negativ	dürre	dürre;dürren;	dürre;dürren;
positiv	edel	edel;edele;edeln;edelen;edlen;edle;edels;edil;edeles;ediln;	edel;edele;edeln;edelen;edelen;edele;edeles;edel;edeles;edeln;
positiv	edele	edel;edele;edeln;edelen;edlen;edle;edels;edil;edeles;ediln;	edel;edele;edeln;edelen;edelen;edele;edeles;edel;edeles;edeln;
positiv	edelem	edelem;	edelem;
positiv	edeler	edeler;edler;	edeler;edeler;
positiv	edeliu	edeliu;	edeliu;
positiv	edelkeit	edelkeit;	edelkeit;
positiv	edell	edell;	edell;
positiv	edelm	edelm;	edelm;
positiv	edelsten	edelsten;	edelsten;
positiv	edliu	edliu;	edliu;
positiv	einic	eynich;einic;einig;eynig;	einic;einic;einic;einic;
positiv	einig	eynich;einic;einig;eynig;	einic;einic;einic;einic;
positiv	ellen	ellen;ellens;	ellen;ellens;
positiv	ellent	ellen;ellens;	ellen;ellens;
negativ	ellende	ellende;ellenden;ellend;ellender;ellendes;	ellende;ellenden;ellende;ellender;ellendes;
negativ	ellente	ellende;ellenden;ellend;ellender;ellendes;	ellende;ellenden;ellende;ellender;ellendes;
positiv	ellensriche	ellensreiche;	ellensriche;
positiv	ellent	ellent;	ellent;
positiv	ellenthaft	ellenthaften;ellenthaft;ellenthaftiu;	ellenthaften;ellenthaft;ellenthaftiu;
positiv	ellenthafte	ellenthafter;ellenthafte;	ellenthafter;ellenthafte;
positiv	ellentrîche	ellentrîcher;ellentrîchen;ellentrîche;	ellentrîcher;ellentrîchen;ellentrîche;
positiv	engel	engel;engeln;engele;engels;engil;engelen;	engel;engeln;engele;engels;engel;engelen;
negativ	entberen	enperen;	entberen;
negativ	entbern	enpern;	entbern;
negativ	entberen	enpern;	entbern;
negativ	entbernte	enpernde;	entbernte;
positiv	entriuwen	entriuwen;entriwen;entruwen;	entriuwen;entriuwen;entriuwen;
positiv	enttriuwen	entriuwen;entriwen;entruwen;	entriuwen;entriuwen;entriuwen;
positiv	erbarme	erbarme;erbarm;	erbarme;erbarme;
positiv	erbarmen	erbarmen;erbarmet;erbarmte;erbarmt;	erbarmen;erbarmet;erbarmte;erbarmt;
positiv	erbarmete	erbarmete;	erbarmete;
positiv	erbarmunge	erbarmunge;	erbarmunge;
positiv	erbermde	erbermde;	erbermde;
positiv	erbermeclichen	erbermeclichen;	erbermeclichen;
positiv	êre	êre;êren;êrn;êrîn;	êre;êren;êrn;êre;
positiv	êren	êrte;geêret;êrt;êrten;êrent;geêrt;	êrte;geêret;êrt;êrten;êrent;geêret;
positiv	erent	erent;	erent;
positiv	erlich	erlich;	erlich;
positiv	êrlich	êrlich;	êrlich;
positiv	erlichen	erlichen;	erlichen;
negativ	erlîden	erliten;erlitten;erleit;erlîden;	erliten;erliten;erleit;erlîden;
positiv	erliuhten	erlûhte;erliuhtet;	erlûhte;erliuhtet;
positiv	erloesen	erloesen;	erloesen;
positiv	erloeset	erloeset;	erloeset;
positiv	erlösen	erlösen;	erlösen;
positiv	erloset	erlost;	erloset;
positiv	erlôset	erlôst;	erlôset;
positiv	erlöset	erlöset;	erlöset;
positiv	erloßt	erloßt;	erloßt;
positiv	erlößt	erlößt;	erlößt;
positiv	erlost	erloest;	erlost;
positiv	erlöst	erlöst;	erlöst;
positiv	erloste	erloste;	erloste;
positiv	erlôste	erlôste;	erlôste;
negativ	ermorden	ermordet;	ermordet;
negativ	ermort	ermort;	ermort;
negativ	errechen	errochen;	errochen;
negativ	erschrecken	erschrecken;erschrecket;	erschrecken;erschrecket;
negativ	erslahen	erslagen;erschlagen;ersluoc;irslagen;ersluogen;irslagin;erslahen;	erslagen;erslagen;ersluoc;erslagen;ersluogen;erslagen;erslahen;
negativ	ersterben	ersterben;erstorben;erstarp;ersterbet;erstirbet;erstarb;ersterbe;	ersterben;erstorben;erstarp;ersterbet;erstirbet;erstarp;ersterbe;
positiv	erwirdigen	erwirdigen;	erwirdigen;
negativ	erzuernet	erzurnet;	erzuernet;
negativ	erzürnen	erzürnet;	erzürnet;
positiv	ewic	ewig;ewic;	ewic;ewic;
positiv	êwic	êwigen;êwige;êwic;	êwigen;êwige;êwic;
positiv	êwig	êwigen;êwige;êwic;	êwigen;êwige;êwic;
positiv	êwige	êwigen;êwige;êwic;	êwigen;êwige;êwic;
positiv	ewicheit	ewikeit;	ewicheit;
positiv	ewichleichen	ewichleichen;	ewichleichen;
positiv	ewiclich	ewiger;	ewiclich;
positiv	êwiclich	êwiger;	êwiclich;
positiv	êwiglich	êwiger;	êwiclich;
positiv	ewicliche	ewiclich;ewichleich;eweklich;ewiglich;	ewicliche;ewicliche;ewicliche;ewicliche;
positiv	êwiclîche	êwiclîche;êweclîche;	êwiclîche;êwiclîche;
positiv	ewiclichen	ewiclichen;eweclichen;	ewiclichen;ewiclichen;
positiv	êwiclichen	êweclichen;	êwiclichen;
positiv	êwiclîchen	êwiclîchen;	êwiclîchen;
positiv	ewige	ewige;	ewige;
positiv	ewigen	ewigen;ewigin;	ewigen;ewigen;
positiv	ewiges	ewigs;	ewiges;
positiv	ewigklich	ewigklich;	ewigklich;
negativ	fliehen	fliehen;	fliehen;
positiv	fliz	fliz;	fliz;
positiv	flîz	flîz;	flîz;
positiv	flîzeclîche	flîzeclîche;	flîzeclîche;
positiv	flîziclich	flîziclich;	flîziclich;
negativ	fluhen	fluhen;	fluhen;
negativ	fluht	fluht;	fluht;
negativ	flühte	flühte;	flühte;
negativ	fluoch	fluoch;	fluoch;
negativ	fluochen	fluochen;	fluochen;
negativ	flust	flust;	flust;
negativ	forchten	forchten;	forchten;
negativ	forchtet	forchtet;	forchtet;
negativ	forht	forht;	forht;
negativ	forhte	forhte;	forhte;
negativ	forhten	forhten;	forhten;
negativ	freise	freise;	freise;
negativ	freisen	freisen;	freisen;
negativ	freislich	freislich;	freislich;
negativ	freislîch	freislîch;	freislîch;
negativ	freislîche	freislîche;	freislîche;
positiv	freud	freud;	freud;
positiv	freude	freude;	freude;
positiv	freuden	freuden;fröden;	freuden;freuden;
positiv	freut	freut;	freut;
positiv	freute	freute;	freute;
positiv	freuten	freuten;	freuten;
positiv	frewen	frewen;	frewen;
positiv	frewnt	frewnt;	frewnt;
positiv	freye	freye;	freye;
positiv	fri	fri;	fri;
positiv	frî	frî;	frî;
positiv	fride	fride;	fride;
positiv	frides	frides;	frides;
positiv	frie	frie;	frie;
positiv	frîe	frîe;	frîe;
positiv	frien	frien;	frien;
positiv	frîen	frîen;	frîen;
positiv	friende	friende;	friende;
positiv	frîer	frîer;	frîer;
positiv	frisch	frisch;	frisch;
positiv	friunde	friunde;	friunde;
positiv	friunden	friunden;	friunden;
positiv	friundes	friundes;	friundes;
positiv	friundîn	friundîn;	friundîn;
positiv	friunt	friunt;	friunt;
positiv	friuntlîche	friuntlîche;	friuntlîche;
positiv	friuntschaft	friuntschaft;	friuntschaft;
positiv	frö	frö;	frö;
positiv	fröd	fröd;	fröd;
positiv	fröide	fröide;	fröide;
positiv	fröiden	fröiden;	fröiden;
positiv	fröit	fröit;	fröit;
positiv	frôlich	frôlich;	frôlich;
positiv	frôlîche	frôlîche;	frôlîche;
positiv	frölichen	frölichen;	frölichen;
positiv	fröud	fröud;	fröud;
positiv	fröude	fröude;	fröude;
positiv	fröuden	fröuden;	fröuden;
positiv	fröut	fröut;	fröut;
positiv	fröute	fröute;	fröute;
positiv	fröuten	fröuten;	fröuten;
positiv	fröuwe	fröuwe;	fröuwe;
positiv	fröuwen	fröuwen;	fröuwen;
positiv	fröuwet	fröuwet;	fröuwet;
positiv	frum	frum;	frum;
positiv	frümcheit	frümcheit;	frümcheit;
positiv	frümekeit	frümekeit;	frümekeit;
positiv	frumer	frumer;	frumer;
positiv	frumikeit	frumikeit;	frumikeit;
positiv	frümkeit	frümkeit;	frümkeit;
positiv	frumme	frumme;	frumme;
positiv	frummen	frummen;	frummen;
positiv	frumt	frumt;	frumt;
positiv	frumte	frumte;	frumte;
positiv	frumten	frumten;	frumten;
positiv	frünt	frünt;	frünt;
positiv	früntlich	früntlich;	früntlich;
positiv	fruntlichen	fruntlichen;	fruntlichen;
positiv	fruntschafft	fruntschafft;	fruntschafft;
positiv	ganzer	ganzer;gantzer;ganczer;	ganzer;ganzer;ganzer;
positiv	ganzære	ganzer;gantzer;ganczer;	ganzer;ganzer;ganzer;
positiv	gehoehet	gehoehet;	gehoehet;
positiv	geil	geil;gail;geile;	geil;geil;geile;
positiv	geile	geil;gail;geile;	geil;geil;geile;
positiv	gekroenet	gekroenet;	gekroenet;
positiv	gekronet	gekronet;	gekronet;
positiv	gekrônet	gekrônet;	gekrônet;
positiv	gelert	gelert;	gelert;
positiv	gelerten	gelerten;	gelerten;
negativ	gelitten	gelitten;geliden;	gelitten;gelitten;
negativ	gelîtten	gelîden;	gelîtten;
positiv	geloben	geloub;gelobe;	gelobe;gelobe;
positiv	gelonet	gelonet;	gelonet;
positiv	gelücke	gelücke;gelückes;	gelücke;gelückes;
positiv	geluecke	gelucke;glück;gelück;geluck;glucke;	geluecke;geluecke;geluecke;geluecke;geluecke;
positiv	gelueckes	geluckes;	gelueckes;
positiv	gelük	gelük;	gelük;
positiv	gemeit	gemeit;gemait;	gemeit;gemeit;
positiv	genade	gnade;genade;gnâde;gnad;genad;gnâd;genat;	genade;genade;genade;genade;genade;genade;genade;
positiv	genâde	genâde;genâden;genâd;genât;	genâde;genâden;genâde;genâde;
positiv	genaden	genaden;gnadin;gnadon;	genaden;genaden;genaden;
positiv	genadet	genadet;	genadet;
positiv	genaedeclîche	genaedeclîche;	genaedeclîche;
positiv	genaedic	genaedic;gnedig;genedig;	genaedic;genaedic;genaedic;
positiv	genædic	genædic;	genædic;
positiv	genædicliche	genædiclich;	genædicliche;
positiv	genesen	genesen;genas;genese;genesin;geniset;	genesen;genas;genese;genesen;geniset;
positiv	genesn	genesn;	genesn;
positiv	geniez	geniezen;geniessen;geniez;geniezzen;genieze;	geniezen;geniezen;geniez;geniezen;genieze;
positiv	genôz	genôz;genôzen;genôze;	genôz;genôzen;genôze;
positiv	genôze	genôz;genôzen;genôze;	genôz;genôzen;genôze;
positiv	gepriset	gepriset;	gepriset;
negativ	gerechen	gerichet;gerach;gerechent;	gerichet;gerach;gerechent;
positiv	gerehte	gerechten;gerehten;	gerehten;gerehten;
positiv	gerehticheit	gerechtikeit;gerehtekeit;	gerehticheit;gerehticheit;
positiv	gerehtikeit	gerehtikeit;	gerehtikeit;
positiv	gerne	gerne;gerner;gernest;	gerne;gerner;gernest;
positiv	gesange	gesange;	gesange;
positiv	gesanges	gesanges;	gesanges;
positiv	gesunt	gesunt;gesunden;gesunde;gesvnt;	gesunt;gesunden;gesunde;gesunt;
positiv	getar	getar;getorste;getorst;getorsten;getörste;getürre;geturren;	getar;getorste;getorst;getorsten;getörste;getürre;geturren;
positiv	getriulich	getriulich;	getriulich;
positiv	getriuwe	getriuwe;getriuwen;getriuwer;getriu;getrewen;getruwer;getrew;getriuwes;getriuwez;	getriuwe;getriuwen;getriuwer;getriuwe;getriuwen;getriuwer;getriuwer;getriuwes;getriuwez;
positiv	getriuwelich	getriuwelîche;	getriuwelîche;
positiv	getriuweliche	getruwelich;	getriuweliche;
positiv	getriwe	getriwe;	getriwe;
positiv	getriwen	getriwen;	getriwen;
positiv	getriwer	getriwer;	getriwer;
positiv	getroesten	getroesten;	getroesten;
positiv	getrœsten	getrôste;	getrôste;
positiv	getroestet	getroestet;	getroestet;
positiv	getruw	getruw;	getruw;
positiv	getruwe	getruwe;getrowe;	getruwe;getruwe;
positiv	getrúwe	getrúwe;	getrúwe;
positiv	getrûwe	getrouwe;	getrouwe;
positiv	getruwen	getruwen;getrouwen;getrowen;getrawen;	getruwen;getruwen;getruwen;getruwen;
positiv	getrûwen	getrûwen;	getrûwen;
positiv	getruwet	getruwet;	getruwet;
negativ	geuneret	geuneret;	geuneret;
positiv	gevüege	gevüegen;gevüege;	gevüegen;gevüege;
positiv	gewin	gewinnen;gewin;gewinne;gewann;gewynnen;gwin;gewinnes;gwinnen;gwinne;	gewinnen;gewin;gewinne;gewinnen;gewinnen;gewinne;gewinnes;gewinnen;gewinne;
positiv	gewinn	gewinnen;gewin;gewinne;gewann;gewynnen;gwin;gewinnes;gwinnen;gwinne;	gewinnen;gewin;gewinne;gewinnen;gewinnen;gewinne;gewinnes;gewinnen;gewinne;
positiv	gewinnen	gewan;gewinnet;gwan;gewinnent;gewünne;gewinnest;gewinn;gwinnet;	gewan;gewinnet;gewan;gewinnent;gewünne;gewinnest;gewinn;gewinnet;
positiv	gezaeme	gezaeme;	gezaeme;
positiv	gezæme	gezæme;	gezæme;
positiv	gezem	gezem;	gezem;
positiv	gezemen	gezam;gezemen;gezeme;gezimt;gezimet;gezemende;	gezam;gezemen;gezeme;gezimt;gezimet;gezemende;
positiv	gezierde	gezierde;gezirde;	gezierde;gezierde;
positiv	gezierede	gezierde;gezirde;	gezierde;gezierde;
positiv	geziere	geziere;	geziere;
positiv	gezieren	gezieret;geziert;geziret;gezierten;gecieret;	gezieret;geziert;gezieret;gezierten;gezieret;
positiv	gezierett	gezierett;	gezierett;
positiv	gezogenliche	gezogenliche;	gezogenliche;
positiv	gezogenlîche	gezogenlîche;	gezogenlîche;
positiv	gezogenlichen	gezogenlichen;	gezogenlichen;
positiv	gezogenlîchen	gezogenlîchen;	gezogenlîchen;
negativ	gîsel	gîsel;	gîsel;
positiv	gleste	glesten;gleste;	glesten;gleste;
positiv	gnâde	gnâden;	gnâden;
positiv	gnaden	gnaden;	gnaden;
positiv	gnadet	gnadet;	gnadet;
positiv	golt	golt;gold;	golt;golt;
positiv	gold	golt;gold;	golt;golt;
positiv	goltvar	goltvar;	goltvar;
positiv	goldvarw	goltvar;	goltvar;
positiv	goltvaz	goltvaz;	goltvaz;
positiv	goldvazz	goltvaz;	goltvaz;
positiv	got	got;gotes;gote;gott;gottes;gots;gotte;goten;gotez;goet;gode;god;gotis;godis;gotz;godes;gottis;	got;gotes;gote;got;gotes;gots;gote;goten;gotes;gote;gote;got;gotes;gotes;gotes;gotes;gotes;
positiv	göt	göt;	göt;
positiv	gote	göte;göten;	göte;göten;
positiv	gotelich	gotlich;gotliche;goetlichen;gotlîche;goetlich;	gotelich;goteliche;gotelichen;goteliche;gotelich;
positiv	goteshûs	goteshûs;goteshûse;goteshûses;	goteshûs;goteshûse;goteshûses;
positiv	goteshuse	gotshaus;gotzhaus;	goteshuse;goteshuse;
positiv	gotheit	gotheit;	gotheit;
positiv	götlich	götlich;	götlich;
positiv	gotlichen	gotlichen;	gotlichen;
positiv	gotlîchen	gotlîchen;	gotlîchen;
positiv	gôtlichen	gôtlichen;	gôtlichen;
positiv	götlichen	götlichen;	götlichen;
positiv	götlîchen	götlîchen;	götlîchen;
positiv	gotlicher	gotlicher;	gotlicher;
positiv	gotlîcher	gotlîcher;	gotlîcher;
positiv	götlicher	götlicher;	götlicher;
positiv	gotshauss	gotshauss;	gotshauss;
positiv	gotshavs	gotshavs;	gotshavs;
negativ	grim	grimmen;grimmes;grimen;grime;grim;	grimmen;grimmes;grimen;grime;grim;
negativ	grimm	grimmen;grimmes;grimen;grime;grim;	grimmen;grimmes;grimen;grime;grim;
negativ	grimme	grimmen;grimmes;grimen;grime;grim;	grimmen;grimmes;grimen;grime;grim;
negativ	grimme	grimme;grimmer;grimmez;grimmem;	grimme;grimmer;grimmez;grimmem;
negativ	grimmeclich	grimmeclichen;grimmeclîchen;grimmeclich;	grimmeclichen;grimmeclîchen;grimmeclich;
negativ	grimmiglich	grimmeclichen;grimmeclîchen;grimmeclich;	grimmeclichen;grimmeclîchen;grimmeclich;
negativ	grimmic	grimmic;	grimmic;
negativ	grimmigem	grimmigem;	grimmigem;
negativ	grimmigen	grimmigen;	grimmigen;
positiv	groeste	groeste;	groeste;
positiv	groesten	groesten;	groesten;
positiv	groeze	groeze;	groeze;
positiv	groezer	groezer;	groezer;
positiv	groezern	groezern;	groezern;
positiv	groezlîche	groezlîche;	groezlîche;
positiv	grösser	grösser;	grösser;
positiv	größer	größer;	größer;
positiv	grosseu	grosseu;	grosseu;
positiv	grozem	grossem;großem;grozem;grozzem;groszem;	grozem;grozem;grozem;grozem;grozem;
positiv	grozen	großen;grozen;grossen;grozzen;groszen;groissen;grosen;	grozen;grozen;grozen;grozen;grozen;grozen;grozen;
positiv	grozer	grozer;grosser;großer;grozzer;grozz;groszer;groesser;	grozer;grozer;grozer;grozer;grozer;grozer;grozer;
positiv	grozes	grosses;grozes;	grozes;grozes;
positiv	grozestez	grost;	grozestez;
positiv	groziu	groziu;groziv;	groziu;groziu;
positiv	grôzlich	grôzlich;grôzlîche;	grôzlich;grôzlîche;
positiv	grozliche	grozliche;	grozliche;
positiv	grozlichen	groezlîchen;grozlichen;	grozlichen;grozlichen;
positiv	grueeze	grueze;	grueeze;
positiv	grueezen	gruezen;gruezzen;	grueezen;grueezen;
positiv	gruoz	gruoz;grüezen;gruoze;grüeze;gruozes;gruozen;	gruoz;grüezen;gruoze;grüeze;gruozes;gruozen;
positiv	gruozt	grußt;gruozt;	gruozt;gruozt;
positiv	gruß	gruß;	gruß;
positiv	grüss	grüss;	grüss;
positiv	gueete	guet;guete;güt;gueti;guede;	gueete;gueete;gueete;gueete;gueete;
positiv	guete	guett;gvte;gvete;	guete;guete;guete;
positiv	güete	güete;güeten;	güete;güeten;
positiv	guetleichem	guetleichem;	guetleichem;
positiv	guetleichen	guetleichen;	guetleichen;
positiv	güetlich	güetlîch;güetlich;güetlichen;	güetlîch;güetlich;güetlichen;
positiv	güetlîche	güetlîche;	güetlîche;
positiv	guetlichen	guetlichen;	guetlichen;
positiv	güetlîchen	güetlîchen;	güetlîchen;
